"Game Number","Game Step","Initial Deck","Move Type","Card Color/Rank/Position","Cards Involving","Current Player ID","Player 1","Player 2"
"1","1","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","REVEAL_COLOR","B","B0","0","G4G2W0Y1Y2","Y4R1W1B0R4"
"1","2","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","REVEAL_COLOR","W","W0","1","G4G2W0Y1Y2","Y4R1W1B0R4"
"1","3","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","3","W0","0","G4G2W0Y1Y2","Y4R1W1B0R4"
"1","4","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","REVEAL_COLOR","R","R0","1","R0G4G2Y1Y2","Y4R1W1B0R4"
"1","5","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","1","R0","0","R0G4G2Y1Y2","Y4R1W1B0R4"
"1","6","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","4","B0","1","G3G4G2Y1Y2","Y4R1W1B0R4"
"1","7","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","REVEAL_RANK","1","B1R1W1","0","G3G4G2Y1Y2","B1Y4R1W1R4"
"1","8","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","1","B1","1","G3G4G2Y1Y2","B1Y4R1W1R4"
"1","9","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","REVEAL_RANK","4","Y4R4","0","G3G4G2Y1Y2","R1Y4R1W1R4"
"1","10","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","3","R1","1","G3G4G2Y1Y2","R1Y4R1W1R4"
